Z,N,symb,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,atomic mass, unc, mass excess,unc
54,94,Xe,,,0, ,0+,GT,0.4, ,us,0.0000004, ,B-, , ,B-N, , , , , , , , , , ,8311,300,5249,300,,,,,4312,361,,,8047,2,147958561,322,-38600,300,
55,93,Cs,,,0, , , ,146,6,ms,0.146,0.006,B-,100, ,B-N,25.1,2.5, , , , , , , , ,10682.793,64413,5281.77,24,-4056,401,-8310.942,300,3062.19,16,11840,201,8097.546,88,147949639.029,14000,-46910.942,13041,
56,92,Ba,4.9731,167,0, ,0+, ,0.612,17,s,0.612,0.017,B-,100, ,B-N,0.4,0.3, , , , , , , , ,5115,60000,1013.34,64,-3146.36,63,-10682.793,64,5401.02,66,12962.64,64,8164.441,426,147938170.578,67718,-57593.735,63079,
57,91,La,,,0, ,(2-), ,1.26,8,s,1.26,0.08,B-,100, ,B-N,0.15,0.03, , , , , , , , ,7689.672,22457,1233.84,21,-1862.3,28,-5115.0,66,4101.66,22,9733.68,28,8193.716,132,147932679.4,20900,-62708.735,19468,
58,90,Ce,4.9893,35,0, ,0+, ,56.8,3,s,56.8,0.3,B-,100, , , , , , , , , , , , ,2137.016,12567,-3025.66,19,-1056.2,13,-7689.673,22,6455.83,14,11008.99,15,8240.387,76,147924424.196,12018,-70398.408,11195,
59,89,Pr,,,0, ,1-, ,2.29,2,m,137.4,1.2,B-,100, , , , , , , , , , , , ,4872.572,15090,-2459.99,15,-110.69,20,-2137.016,19,5162.67,22,7810.50,17,8249.54,102,147922130.015,16148,-72535.424,15043,
60,88,Nd,4.9999,36,0, ,0+, ,STABLE, , , , ,2B-, , , , , , , , , , , , , ,-542.28,5874,-6437.05,171,598.96,3,-4872.572,15,7332.56,166,9252.90,16,8277.177,14,147916899.093,2283,-77407.996,2127,
61,87,Pm,,,0, ,1-, ,5.368,7,d,463800,600,B-,100, , , , , , , , ,1.84, ,0.2, ,2470.548,5642,-5670.68,6,1459.89,6,542.28,6,5894.77,6,6007.94,6,8268.226,39,147917481.255,6143,-76865.716,5723,
62,86,Sm,5.0042,34,0, ,0+, ,7E+15,3,Y,9.223372036854776e19,9.223372036854776e19,A,100, , , , , , , , , , , , ,-3036.933,10019,-9862.83,229,1986.78,36,-2470.548,6,8141.23,26,7582.97,38,8279.633,9,147914829.012,1467,-79336.264,1367,
63,85,Eu,5.0045,97,0, ,5-, ,54.5,5,d,4708800,43200,EC+B+,100, ,A,0.00000094,0.00000028, , , , ,2.34, ,0.35, ,-30.003,10019,-9013.70,10,2691.85,10,3036.933,10,6825.89,10,4321.95,10,8253.827,68,147918089.294,10748,-76299.331,10013,
64,84,Gd,5.0080,171,0, ,0+, ,71.1,12,Y,2243697440,37868310,A,100, , , , , , , , , , , , ,-5732.246,12529,-13597.98,8,3271.29,3,30.002,10,8983.70,123,6013.54,236,8248.338,11,147918121.503,1668,-76269.329,1554,
65,83,Tb,4.9291,1507,0, ,2-, ,60,1,m,3600,60,EC+B+,100, , , , , , , , ,-1.75, ,-0.29, ,-2677.532,9596,-14412.36,15,2657.14,16,5732.247,13,7865.73,15,2469.11,13,8204.321,84,147924275.323,13380,-70537.082,12464,
66,82,Dy,5.0455,2389,0, ,0+, ,3.3,2,m,198,12,EC+B+,100, , , , , , , , , , , , ,-9868.393,84287,-20173.78,10,1475.04,29,2677.532,15,11734.83,12,4405.86,12,8180.943,59,147927149.772,9366,-67859.550,8724,
67,81,Ho,,,0, ,(1+), ,2.2,11,s,2.2,1.1,EC+B+,100, , , , , , , , , , , , ,-6512.169,84458,-19454.67,92,1952.11,88,9868.392,84,10305.38,84,1084.09,84,8108.979,566,147937743.928,90000,-57991.158,83834,
68,80,Er,,,0, ,0+, ,4.6,2,s,4.6,0.2,EC+B+,100, ,ECP,0.15, , , , , , , , , ,-12713.962,14491,-23575.91,12,2666.18,13,6512.169,84,12942.50,40,3010.87,11,8059.692,69,147944735.029,11000,-51478.989,10246,
69,79,Tm,,,0, ,(10+), ,0.7,2,s,0.7,0.2,EC+B+,100, , , , , , , , , , , , ,-8435,400,,,3419.57,13,12713.962,14,10861.94,12,-553.81,40,7968.5,69,147958384.029,11000,-38765.027,10246,

